Iter     SteadyRMS     UnsteadyRMS
     1   0.707206       0.139567E-04
     2   0.702871       0.277420E-04
     3   0.698563       0.413575E-04
     4   0.694280       0.548048E-04
     5   0.690025       0.680853E-04
     6   0.685795       0.812008E-04
     7   0.681591       0.941526E-04
     8   0.677413       0.106942E-03
     9   0.673260       0.119571E-03
    10   0.669133       0.132041E-03
    11   0.665032       0.144354E-03
    12   0.660955       0.156510E-03
    13   0.656903       0.168512E-03
    14   0.652877       0.180360E-03
    15   0.648875       0.192056E-03
    16   0.644897       0.203602E-03
    17   0.640944       0.214999E-03
    18   0.637015       0.226248E-03
    19   0.633110       0.237351E-03
    20   0.629229       0.248310E-03
    21   0.625372       0.259124E-03
    22   0.621539       0.269797E-03
    23   0.617729       0.280329E-03
    24   0.613942       0.290721E-03
    25   0.610179       0.300975E-03
    26   0.606438       0.311092E-03
    27   0.602721       0.321074E-03
    28   0.599026       0.330921E-03
    29   0.595354       0.340635E-03
    30   0.591705       0.350218E-03
    31   0.588078       0.359670E-03
    32   0.584473       0.368993E-03
    33   0.580890       0.378187E-03
    34   0.577329       0.387255E-03
    35   0.573790       0.396198E-03
    36   0.570273       0.405015E-03
    37   0.566777       0.413710E-03
    38   0.563303       0.422283E-03
    39   0.559850       0.430735E-03
    40   0.556418       0.439067E-03
    41   0.553008       0.447280E-03
    42   0.549618       0.455376E-03
    43   0.546249       0.463356E-03
    44   0.542900       0.471221E-03
    45   0.539572       0.478972E-03
    46   0.536265       0.486609E-03
    47   0.532977       0.494135E-03
    48   0.529710       0.501550E-03
    49   0.526463       0.508856E-03
    50   0.523236       0.516053E-03
    51   0.520029       0.523142E-03
    52   0.516841       0.530125E-03
    53   0.513673       0.537002E-03
    54   0.510524       0.543775E-03
    55   0.507395       0.550444E-03
    56   0.504284       0.557011E-03
    57   0.501193       0.563477E-03
    58   0.498121       0.569842E-03
    59   0.495067       0.576108E-03
    60   0.492033       0.582276E-03
    61   0.489017       0.588346E-03
    62   0.486019       0.594319E-03
    63   0.483040       0.600197E-03
    64   0.480079       0.605980E-03
    65   0.477136       0.611670E-03
    66   0.474211       0.617267E-03
    67   0.471304       0.622773E-03
    68   0.468415       0.628187E-03
    69   0.465544       0.633511E-03
    70   0.462690       0.638747E-03
    71   0.459854       0.643894E-03
    72   0.457035       0.648954E-03
    73   0.454233       0.653927E-03
    74   0.451449       0.658815E-03
    75   0.448682       0.663619E-03
    76   0.445931       0.668338E-03
    77   0.443198       0.672975E-03
    78   0.440481       0.677529E-03
    79   0.437781       0.682002E-03
    80   0.435097       0.686395E-03
    81   0.432430       0.690708E-03
    82   0.429779       0.694942E-03
    83   0.427145       0.699098E-03
    84   0.424527       0.703177E-03
    85   0.421924       0.707180E-03
    86   0.419338       0.711106E-03
    87   0.416767       0.714958E-03
    88   0.414213       0.718736E-03
    89   0.411674       0.722441E-03
    90   0.409150       0.726072E-03
    91   0.406642       0.729633E-03
    92   0.404149       0.733122E-03
    93   0.401672       0.736540E-03
    94   0.399210       0.739889E-03
    95   0.396763       0.743169E-03
    96   0.394331       0.746381E-03
    97   0.391913       0.749526E-03
    98   0.389511       0.752604E-03
    99   0.387123       0.755615E-03
   100   0.384750       0.758562E-03
   101   0.382392       0.761443E-03
   102   0.380048       0.764261E-03
   103   0.377718       0.767015E-03
   104   0.375403       0.769707E-03
   105   0.373101       0.772337E-03
   106   0.370814       0.774906E-03
   107   0.368541       0.777413E-03
   108   0.366282       0.779861E-03
   109   0.364037       0.782250E-03
   110   0.361805       0.784580E-03
   111   0.359588       0.786851E-03
   112   0.357383       0.789065E-03
   113   0.355193       0.791223E-03
   114   0.353015       0.793324E-03
   115   0.350851       0.795369E-03
   116   0.348701       0.797360E-03
   117   0.346563       0.799296E-03
   118   0.344439       0.801178E-03
   119   0.342327       0.803007E-03
   120   0.340229       0.804783E-03
   121   0.338143       0.806507E-03
   122   0.336071       0.808180E-03
   123   0.334011       0.809802E-03
   124   0.331963       0.811373E-03
   125   0.329928       0.812895E-03
   126   0.327906       0.814367E-03
   127   0.325896       0.815791E-03
   128   0.323898       0.817166E-03
   129   0.321913       0.818494E-03
   130   0.319939       0.819775E-03
   131   0.317978       0.821009E-03
   132   0.316029       0.822197E-03
   133   0.314092       0.823339E-03
   134   0.312166       0.824437E-03
   135   0.310253       0.825490E-03
   136   0.308351       0.826498E-03
   137   0.306461       0.827464E-03
   138   0.304582       0.828386E-03
   139   0.302715       0.829266E-03
   140   0.300860       0.830104E-03
   141   0.299015       0.830900E-03
   142   0.297182       0.831656E-03
   143   0.295361       0.832370E-03
   144   0.293550       0.833045E-03
   145   0.291751       0.833680E-03
   146   0.289962       0.834275E-03
   147   0.288185       0.834832E-03
   148   0.286418       0.835351E-03
   149   0.284663       0.835832E-03
   150   0.282918       0.836275E-03
   151   0.281183       0.836682E-03
   152   0.279460       0.837051E-03
   153   0.277747       0.837385E-03
   154   0.276044       0.837684E-03
   155   0.274352       0.837947E-03
   156   0.272670       0.838175E-03
   157   0.270999       0.838368E-03
   158   0.269338       0.838528E-03
   159   0.267687       0.838655E-03
   160   0.266046       0.838748E-03
   161   0.264415       0.838808E-03
   162   0.262794       0.838836E-03
   163   0.261183       0.838832E-03
   164   0.259582       0.838796E-03
   165   0.257991       0.838730E-03
   166   0.256409       0.838632E-03
   167   0.254838       0.838504E-03
   168   0.253276       0.838346E-03
   169   0.251723       0.838158E-03
   170   0.250180       0.837941E-03
   171   0.248646       0.837695E-03
   172   0.247122       0.837421E-03
   173   0.245607       0.837118E-03
   174   0.244102       0.836788E-03
   175   0.242606       0.836430E-03
   176   0.241118       0.836045E-03
   177   0.239640       0.835633E-03
   178   0.238171       0.835194E-03
   179   0.236711       0.834730E-03
   180   0.235260       0.834239E-03
   181   0.233818       0.833724E-03
   182   0.232385       0.833183E-03
   183   0.230960       0.832617E-03
   184   0.229545       0.832027E-03
   185   0.228138       0.831413E-03
   186   0.226739       0.830774E-03
   187   0.225349       0.830113E-03
   188   0.223968       0.829428E-03
   189   0.222595       0.828720E-03
   190   0.221231       0.827990E-03
   191   0.219874       0.827238E-03
   192   0.218527       0.826463E-03
   193   0.217187       0.825667E-03
   194   0.215856       0.824849E-03
   195   0.214533       0.824011E-03
   196   0.213217       0.823151E-03
   197   0.211910       0.822271E-03
   198   0.210611       0.821371E-03
   199   0.209320       0.820451E-03
   200   0.208037       0.819511E-03
   201   0.206762       0.818552E-03
   202   0.205495       0.817574E-03
   203   0.204235       0.816577E-03
   204   0.202983       0.815561E-03
   205   0.201739       0.814527E-03
   206   0.200502       0.813475E-03
   207   0.199273       0.812405E-03
   208   0.198052       0.811318E-03
   209   0.196838       0.810213E-03
   210   0.195631       0.809092E-03
   211   0.194432       0.807953E-03
   212   0.193240       0.806798E-03
   213   0.192055       0.805627E-03
   214   0.190878       0.804440E-03
   215   0.189708       0.803237E-03
   216   0.188545       0.802018E-03
   217   0.187389       0.800784E-03
   218   0.186241       0.799535E-03
   219   0.185099       0.798271E-03
   220   0.183964       0.796993E-03
   221   0.182837       0.795700E-03
   222   0.181716       0.794393E-03
   223   0.180602       0.793072E-03
   224   0.179495       0.791737E-03
   225   0.178395       0.790389E-03
   226   0.177301       0.789028E-03
   227   0.176214       0.787653E-03
   228   0.175134       0.786266E-03
   229   0.174061       0.784866E-03
   230   0.172994       0.783453E-03
   231   0.171933       0.782028E-03
   232   0.170879       0.780592E-03
   233   0.169832       0.779143E-03
   234   0.168791       0.777683E-03
   235   0.167756       0.776211E-03
   236   0.166728       0.774728E-03
   237   0.165706       0.773234E-03
   238   0.164690       0.771729E-03
   239   0.163680       0.770214E-03
   240   0.162677       0.768688E-03
   241   0.161680       0.767151E-03
   242   0.160689       0.765605E-03
   243   0.159704       0.764049E-03
   244   0.158725       0.762482E-03
   245   0.157752       0.760907E-03
   246   0.156785       0.759322E-03
   247   0.155824       0.757727E-03
   248   0.154869       0.756124E-03
   249   0.153919       0.754512E-03
   250   0.152976       0.752891E-03
   251   0.152038       0.751261E-03
   252   0.151106       0.749624E-03
   253   0.150180       0.747978E-03
   254   0.149259       0.746324E-03
   255   0.148344       0.744662E-03
   256   0.147435       0.742992E-03
   257   0.146531       0.741315E-03
   258   0.145633       0.739630E-03
   259   0.144740       0.737938E-03
   260   0.143853       0.736239E-03
   261   0.142971       0.734533E-03
   262   0.142095       0.732820E-03
   263   0.141224       0.731101E-03
   264   0.140358       0.729375E-03
   265   0.139498       0.727643E-03
   266   0.138643       0.725904E-03
   267   0.137793       0.724159E-03
   268   0.136948       0.722409E-03
   269   0.136109       0.720652E-03
   270   0.135274       0.718890E-03
   271   0.134445       0.717123E-03
   272   0.133621       0.715350E-03
   273   0.132802       0.713572E-03
   274   0.131988       0.711788E-03
   275   0.131179       0.710000E-03
   276   0.130375       0.708207E-03
   277   0.129575       0.706409E-03
   278   0.128781       0.704606E-03
   279   0.127992       0.702799E-03
   280   0.127207       0.700988E-03
   281   0.126427       0.699172E-03
   282   0.125652       0.697352E-03
   283   0.124882       0.695528E-03
   284   0.124117       0.693701E-03
   285   0.123356       0.691869E-03
   286   0.122600       0.690034E-03
   287   0.121848       0.688195E-03
   288   0.121101       0.686353E-03
   289   0.120359       0.684508E-03
   290   0.119621       0.682659E-03
   291   0.118888       0.680807E-03
   292   0.118159       0.678952E-03
   293   0.117435       0.677095E-03
   294   0.116715       0.675234E-03
   295   0.115999       0.673371E-03
   296   0.115288       0.671505E-03
   297   0.114582       0.669637E-03
   298   0.113879       0.667767E-03
   299   0.113181       0.665894E-03
   300   0.112487       0.664019E-03
   301   0.111798       0.662142E-03
   302   0.111113       0.660263E-03
   303   0.110431       0.658382E-03
   304   0.109754       0.656499E-03
   305   0.109082       0.654615E-03
   306   0.108413       0.652729E-03
   307   0.107748       0.650841E-03
   308   0.107088       0.648952E-03
   309   0.106432       0.647062E-03
   310   0.105779       0.645170E-03
   311   0.105131       0.643277E-03
   312   0.104486       0.641384E-03
   313   0.103846       0.639489E-03
   314   0.103209       0.637593E-03
   315   0.102577       0.635697E-03
   316   0.101948       0.633799E-03
   317   0.101323       0.631901E-03
   318   0.100702       0.630003E-03
   319   0.100084       0.628104E-03
   320   0.994709E-01   0.626204E-03
   321   0.988612E-01   0.624304E-03
   322   0.982552E-01   0.622404E-03
   323   0.976529E-01   0.620504E-03
   324   0.970543E-01   0.618604E-03
   325   0.964593E-01   0.616703E-03
   326   0.958681E-01   0.614803E-03
   327   0.952804E-01   0.612902E-03
   328   0.946963E-01   0.611002E-03
   329   0.941159E-01   0.609102E-03
   330   0.935389E-01   0.607202E-03
   331   0.929656E-01   0.605303E-03
   332   0.923957E-01   0.603404E-03
   333   0.918293E-01   0.601506E-03
   334   0.912664E-01   0.599608E-03
   335   0.907069E-01   0.597711E-03
   336   0.901509E-01   0.595814E-03
   337   0.895983E-01   0.593918E-03
   338   0.890491E-01   0.592023E-03
   339   0.885032E-01   0.590129E-03
   340   0.879607E-01   0.588236E-03
   341   0.874215E-01   0.586344E-03
   342   0.868856E-01   0.584453E-03
   343   0.863530E-01   0.582563E-03
   344   0.858237E-01   0.580674E-03
   345   0.852976E-01   0.578787E-03
   346   0.847747E-01   0.576901E-03
   347   0.842551E-01   0.575016E-03
   348   0.837386E-01   0.573132E-03
   349   0.832253E-01   0.571250E-03
   350   0.827151E-01   0.569370E-03
   351   0.822081E-01   0.567491E-03
